,AU06_r,AU12_r
796,0.580384,0.323284
901,1.8581900000000002,1.8065099999999998
1001,0.354987,0.025588299999999998
1101,0.0024451,0.21139000000000002
1201,0.423533,0.46579899999999996
1301,0.375208,0.217856
1401,0.775947,1.4553399999999999
1503,0.0,0.0
1603,0.0,0.0
1703,0.0,0.0
1803,0.0298559,0.0
1903,0.030262,0.0
2003,0.0377782,0.0502041
2103,0.0,0.0
2203,0.0,0.0
2303,0.0,0.0
2403,0.0,0.0
2503,0.0,0.0
2603,0.401464,0.343565
2703,0.232449,0.08405399999999999
2803,0.00803214,0.0
2903,0.0,0.0
3003,0.0,0.0
3103,0.0,0.0
3203,0.0,0.0
3315,0.0,0.0
3415,0.0569389,0.0585669
3515,0.0,0.0
3615,0.0,0.0
3715,0.0,0.0
3815,0.0,0.0
3915,0.0,0.0
4063,0.0,0.0
4179,0.0,0.0
4289,0.0,0.0
4391,0.0,0.016925700000000002
4491,0.0,0.0
4591,0.022815400000000003,0.22257600000000002
4691,0.126686,0.164273
4791,0.0,0.0
4891,0.0,0.0
4991,0.0,0.0
5091,0.0,0.019012099999999997
5191,0.0,0.0
5291,0.07077660000000001,0.207563
5394,0.480897,0.236654
5494,0.079029,0.192967
30,2.32281,2.0926299999999998
153,1.35896,0.84241
534,0.877866,0.410801
738,1.1728299999999998,0.400386
921,0.38919899999999996,0.372159
1136,0.9553870000000001,0.612627
1345,0.575018,0.5557949999999999
1503,2.32088,1.98692
1750,0.843123,1.0896700000000001
2156,0.786288,0.784964
2269,0.16531300000000002,0.30132600000000004
2377,0.303478,0.26950100000000005
2481,0.276455,0.155375
2599,2.0966,0.5951810000000001
2700,1.15771,0.544354
2801,1.02263,0.5506439999999999
2906,1.86221,0.9666620000000001
3006,1.9981900000000001,0.958549
3106,0.977083,0.427145
3208,1.5817700000000001,0.8616870000000001
3308,0.929264,0.392979
3410,1.00431,0.57504
3510,1.16517,0.36486399999999997
3618,1.1909299999999998,0.393307
3740,1.2706600000000001,0.62451
3864,1.7274200000000002,1.1053899999999999
4206,1.35671,0.8371430000000001
4448,1.13983,0.554679
4574,1.17259,0.8424969999999999
