,AU06_r,AU12_r
1354,0.093913,0.184282
1454,0.139986,0.279763
1554,0.0466338,0.269477
1654,0.629433,1.07796
1754,0.088022,0.0008989139999999999
1854,0.20552399999999998,0.30248
1954,0.177473,0.0645706
2054,0.0,0.00401826
2154,0.0,0.0
2254,0.000787167,0.0
2354,0.00291982,0.0223462
2454,0.28907,0.0794345
2554,0.0,0.0
2654,0.0,0.0
2754,1.9020400000000002,2.69853
2854,0.0,0.00741568
2954,0.0,0.00332568
3054,0.0883083,0.268187
3154,0.0,0.0
3254,0.0,0.0
3354,0.282984,0.339632
3454,0.401489,0.350934
3554,0.274075,0.159525
3654,0.0,0.0472041
3754,0.050858,0.771209
3854,0.0,0.150936
3954,0.0163313,0.07311430000000001
4054,0.021617599999999997,0.00613466
4154,0.0,0.0
4254,0.0,0.0
4354,0.0,0.0
4454,0.0,0.0
4554,2.38194,1.64355
4654,0.0,0.0
4754,0.0,0.0
4854,0.0,0.0
4954,0.0,0.333414
5054,0.0,0.45898900000000004
5154,0.0,0.0
5254,0.201996,0.0
5354,0.37082,0.030713999999999998
5454,0.0,0.0
5554,1.0360200000000002,1.43205
5654,0.0,0.0
70,1.08754,0.74767
170,0.0,0.0
270,0.0,0.0
370,0.0,0.143272
470,0.0,0.0
570,0.0,0.0
670,0.0,0.0
770,0.0,0.0
870,0.0,0.0
970,0.163375,0.313217
1070,0.0,0.0
1170,0.0,0.0
1270,0.0,0.0
1370,0.0,0.017469
1470,2.17679,3.5097199999999997
1570,0.0,0.0
1670,0.0,0.8670889999999999
1770,0.37456100000000003,1.24712
1870,0.787274,1.9039400000000002
1970,0.9861979999999999,2.4167400000000003
2070,0.0,0.42153100000000004
2170,2.06812,3.15683
2270,1.09143,1.06162
2370,1.5909799999999998,2.01266
2470,1.45623,1.81246
2570,1.3073,2.0725599999999997
2670,2.0903099999999997,2.49825
2770,0.0,0.0
2870,0.6394569999999999,0.433225
2970,0.0,0.0
3070,0.013988800000000001,0.0
3170,0.0712358,0.0
3270,0.00745074,0.0
3370,0.0,0.0
3470,0.0,0.0
3570,0.065097,0.3118
3670,1.15678,1.59409
3770,0.189394,0.576418
3870,0.10898699999999999,0.113856
3970,0.0,0.0
4070,0.0,0.0
4170,0.0,0.0
4270,0.0,0.0
4370,0.0,0.0
4470,0.31403400000000004,0.1498
4570,0.0,0.0
4670,0.0,0.0
4770,0.0,0.00799057
4870,0.0,0.0
4970,0.0,0.0
5070,0.0,0.0
5170,0.0,0.0
5270,0.0,0.0
5370,0.0,0.0
5470,0.0,0.0
5570,0.0,0.0
5670,0.6340979999999999,1.2593
24,0.0,0.178106
124,1.6464,1.7100099999999998
224,1.02573,0.2351
324,0.328651,0.566325
424,0.0,0.0
524,0.604931,0.012121
624,0.0,0.0
724,0.968598,0.21742199999999998
824,1.3763100000000001,0.8980799999999999
924,0.204519,0.0132649
